IP,PORT,DESCRIPTION
24.172.44.9,80,Time Warner Cable
50.42.41.73,80,Frontier Communications
208.65.22.212,80,Compunet
96.10.132.150,80,Time Warner Cable
174.107.151.141,80,Time Warner Cable
70.63.224.238,80,Time Warner Cable
208.65.21.23,80,Compunet
24.199.189.58,80,Time Warner Cable
208.65.21.36,80,Compunet
65.184.115.26,80,Time Warner Cable
50.123.144.250,80,Frontier Communications
50.123.171.207,80,Frontier Communications
50.42.47.86,80,Frontier Communications
74.37.215.211,80,Frontier Communications
174.107.135.71,80,Time Warner Cable
24.199.189.82,80,Time Warner Cable
24.199.189.121,80,Time Warner Cable
71.68.198.142,80,Time Warner Cable
24.172.55.177,80,Time Warner Cable
50.42.34.61,80,Frontier Communications
24.172.44.198,80,Time Warner Cable
24.172.55.37,80,Time Warner Cable
75.183.131.0,80,Time Warner Cable
208.65.21.13,80,Compunet
50.42.41.213,80,Frontier Communications
50.42.34.37,80,Frontier Communications
75.183.143.22,80,Time Warner Cable
50.123.144.121,80,Frontier Communications
50.42.41.130,80,Frontier Communications
50.42.34.141,80,Frontier Communications
50.42.34.93,80,Frontier Communications
75.183.138.226,80,Time Warner Cable
24.172.45.30,80,Time Warner Cable
50.42.41.78,80,Frontier Communications
208.65.23.54,80,Compunet
174.107.136.56,80,Time Warner Cable
71.68.196.119,80,Time Warner Cable
24.172.44.33,80,Time Warner Cable
71.68.196.217,80,Time Warner Cable
50.123.145.171,80,Frontier Communications
75.183.143.59,80,Time Warner Cable
24.172.44.125,80,Time Warner Cable
98.25.146.25,80,Time Warner Cable
70.63.224.154,80,Time Warner Cable
75.183.138.13,80,Time Warner Cable
24.172.55.222,80,Time Warner Cable
208.65.21.82,80,Compunet
208.65.21.17,80,Compunet
50.42.34.1,80,Frontier Communications
208.65.21.65,80,Compunet
24.199.189.182,80,Time Warner Cable
24.172.45.240,80,Time Warner Cable
24.172.45.209,80,Time Warner Cable
96.10.105.203,80,Time Warner Cable
50.42.56.57,80,Frontier Communications
70.63.224.9,80,Time Warner Cable
174.107.134.159,80,Time Warner Cable
208.65.21.184,80,Compunet
71.68.199.88,80,Time Warner Cable
75.183.143.104,80,Time Warner Cable
74.37.214.15,80,Frontier Communications
50.42.41.77,80,Frontier Communications
107.190.147.10,80,Horry Telephone Cooperative
50.42.43.254,80,Frontier Communications
70.63.224.22,80,Time Warner Cable
50.42.41.81,80,Frontier Communications
50.123.145.110,80,Frontier Communications
75.183.137.112,80,Time Warner Cable
24.172.45.145,80,Time Warner Cable
24.172.44.250,80,Time Warner Cable
24.172.45.238,80,Time Warner Cable
24.199.189.220,80,Time Warner Cable
96.10.104.50,80,Time Warner Cable
50.42.46.105,80,Frontier Communications
174.107.136.46,80,Time Warner Cable
75.183.141.191,80,Time Warner Cable
208.65.23.18,80,Compunet
24.172.45.246,80,Time Warner Cable
75.183.140.173,80,Time Warner Cable
24.199.189.225,80,Time Warner Cable
50.42.43.20,80,Frontier Communications
208.65.21.88,80,Compunet
50.42.41.128,80,Frontier Communications
208.65.23.60,80,Compunet
174.107.147.241,80,Time Warner Cable
208.65.23.38,80,Compunet
50.123.185.172,80,Frontier Communications
50.42.47.94,80,Frontier Communications
208.65.21.16,80,Compunet
50.123.169.157,80,Frontier Communications
174.107.128.47,80,Time Warner Cable
174.107.145.197,80,Time Warner Cable
174.107.145.205,80,Time Warner Cable
96.10.104.182,80,Time Warner Cable
174.107.141.157,80,Time Warner Cable
24.172.44.58,80,Time Warner Cable
