IP,PORT,DESCRIPTION
97.89.137.214,80,Spectrum
97.89.178.210,80,Spectrum
172.220.184.113,80,Spectrum
97.89.136.118,80,Spectrum
172.220.189.144,80,Spectrum
68.191.7.98,80,Spectrum
68.189.159.178,80,Spectrum
24.216.57.170,80,Spectrum
71.87.226.179,80,Spectrum
97.89.179.82,80,Spectrum
24.216.159.66,80,Spectrum
108.248.197.51,80,AT&T U-verse
24.216.57.30,80,Spectrum
96.36.126.140,80,Spectrum
97.89.179.37,80,Spectrum
96.36.126.106,80,Spectrum
24.216.157.180,80,Spectrum
68.189.159.29,80,Spectrum
108.197.77.18,80,AT&T U-verse
47.49.168.58,80,Spectrum
172.220.184.18,80,Spectrum
68.191.28.29,80,Spectrum
97.89.179.26,80,Spectrum
47.49.154.122,80,Spectrum
97.89.178.234,80,Spectrum
47.49.154.219,80,Spectrum
96.36.126.108,80,Spectrum
47.49.154.162,80,Spectrum
47.49.154.146,80,Spectrum
172.220.184.126,80,Spectrum
71.85.135.141,80,Spectrum
24.216.157.220,80,Spectrum
108.248.196.139,80,AT&T U-verse
24.216.56.210,80,Spectrum
47.49.168.100,80,Spectrum
47.49.168.50,80,Spectrum
24.216.56.238,80,Spectrum
47.35.214.176,80,Spectrum
97.89.136.84,80,Spectrum
108.197.77.159,80,AT&T U-verse
68.189.159.251,80,Spectrum
47.49.168.92,80,Spectrum
96.36.127.235,80,Spectrum
47.49.168.99,80,Spectrum
47.49.168.101,80,Spectrum
97.89.179.6,80,Spectrum
96.36.127.190,80,Spectrum
71.87.227.156,80,Spectrum
96.36.127.10,80,Spectrum
68.191.27.114,80,Spectrum
24.216.156.108,80,Spectrum
96.36.126.98,80,Spectrum
47.49.154.222,80,Spectrum
47.49.154.10,80,Spectrum
97.89.178.230,80,Spectrum
96.36.127.234,80,Spectrum
97.89.178.50,80,Spectrum
96.36.127.106,80,Spectrum
71.85.135.151,80,Spectrum
24.216.56.194,80,Spectrum
47.49.168.103,80,Spectrum
107.202.38.34,80,AT&T U-verse
24.196.188.151,80,Spectrum
97.89.178.146,80,Spectrum
24.216.57.49,80,Spectrum
47.49.154.190,80,Spectrum
97.89.179.166,80,Spectrum
71.87.226.11,80,Spectrum
68.189.159.97,80,Spectrum
96.36.127.246,80,Spectrum
71.87.226.6,80,Spectrum
47.49.168.102,80,Spectrum
24.216.57.138,80,Spectrum
47.49.168.94,80,Spectrum
24.216.57.21,80,Spectrum
24.216.57.146,80,Spectrum
24.216.158.135,80,Spectrum
24.216.159.90,80,Spectrum
68.189.158.252,80,Spectrum
97.89.178.35,80,Spectrum
172.220.189.60,80,Spectrum
47.49.168.90,80,Spectrum
97.89.136.64,80,Spectrum
66.193.211.173,80,tw telecom holdings
96.36.127.146,80,Spectrum
96.36.126.146,80,Spectrum
97.89.179.242,80,Spectrum
71.87.227.217,80,Spectrum
66.49.76.170,80,Windstream Communications
96.36.127.210,80,Spectrum
71.85.135.212,80,Spectrum
66.49.76.227,80,Windstream Communications
71.87.227.210,80,Spectrum
97.95.238.74,80,Spectrum
24.216.56.242,80,Spectrum
96.36.126.174,80,Spectrum
71.87.226.2,80,Spectrum
