IP,PORT,DESCRIPTION
98.25.159.101,80,Time Warner Cable
174.107.131.134,80,Time Warner Cable
98.25.146.186,80,Time Warner Cable
98.25.149.108,80,Time Warner Cable
98.25.154.184,80,Time Warner Cable
98.25.155.138,80,Time Warner Cable
71.68.196.58,80,Time Warner Cable
98.25.144.222,80,Time Warner Cable
50.123.181.207,80,Frontier Communications
98.25.158.42,80,Time Warner Cable
174.107.131.218,80,Time Warner Cable
98.25.149.28,80,Time Warner Cable
98.25.153.141,80,Time Warner Cable
98.25.146.81,80,Time Warner Cable
98.25.149.24,80,Time Warner Cable
98.25.146.148,80,Time Warner Cable
174.107.137.247,80,Time Warner Cable
98.25.146.75,80,Time Warner Cable
98.25.147.31,80,Time Warner Cable
98.25.144.207,80,Time Warner Cable
98.25.146.252,80,Time Warner Cable
98.25.154.53,80,Time Warner Cable
98.25.147.196,80,Time Warner Cable
98.25.150.124,80,Time Warner Cable
98.25.147.140,80,Time Warner Cable
98.25.147.144,80,Time Warner Cable
98.25.148.29,80,Time Warner Cable
98.25.151.234,80,Time Warner Cable
98.25.150.83,80,Time Warner Cable
98.25.144.92,80,Time Warner Cable
98.25.147.93,80,Time Warner Cable
98.25.157.106,80,Time Warner Cable
98.25.150.127,80,Time Warner Cable
98.25.151.173,80,Time Warner Cable
98.25.155.148,80,Time Warner Cable
98.25.154.1,80,Time Warner Cable
75.183.135.31,80,Time Warner Cable
50.123.165.171,80,Frontier Communications
98.25.154.0,80,Time Warner Cable
75.183.133.174,80,Time Warner Cable
98.25.151.124,80,Time Warner Cable
98.25.148.233,80,Time Warner Cable
98.25.152.61,80,Time Warner Cable
98.25.152.250,80,Time Warner Cable
98.25.146.224,80,Time Warner Cable
98.25.152.25,80,Time Warner Cable
98.25.158.80,80,Time Warner Cable
75.183.134.188,80,Time Warner Cable
75.183.135.122,80,Time Warner Cable
98.25.145.171,80,Time Warner Cable
98.25.146.196,80,Time Warner Cable
98.25.146.87,80,Time Warner Cable
