IP,PORT,DESCRIPTION
170.34.127.108,80,Spectrum
170.34.127.84,80,Spectrum
170.34.127.53,80,Spectrum
170.34.100.232,80,Spectrum
170.34.100.156,80,Spectrum
208.49.215.166,80,Level 3 Communications
170.34.127.31,80,Spectrum
170.34.100.185,80,Spectrum
170.34.127.251,80,Spectrum
170.34.127.76,80,Spectrum
170.34.41.29,80,Spectrum
170.34.100.78,80,Spectrum
170.34.127.45,80,Spectrum
170.34.127.65,80,Spectrum
170.34.127.195,80,Spectrum
170.34.100.220,80,Spectrum
170.34.127.80,80,Spectrum
170.34.127.79,80,Spectrum
170.34.41.95,80,Spectrum
170.34.127.23,80,Spectrum
170.34.41.23,80,Spectrum
170.34.41.109,80,Spectrum
170.34.100.254,80,Spectrum
170.34.127.247,80,Spectrum
170.34.127.226,80,Spectrum
170.34.127.180,80,Spectrum
170.34.41.67,80,Spectrum
170.34.100.138,80,Spectrum
170.34.41.47,80,Spectrum
170.34.100.117,80,Spectrum
206.246.93.65,80,MOD Mission Critical
170.34.127.87,80,Spectrum
170.34.127.160,80,Spectrum
170.34.127.143,80,Spectrum
24.241.146.242,80,Spectrum
170.34.127.163,80,Spectrum
170.34.41.111,80,Spectrum
170.34.100.203,80,Spectrum
170.34.41.42,80,Spectrum
170.34.127.246,80,Spectrum
170.34.127.20,80,Spectrum
170.34.100.195,80,Spectrum
170.34.41.26,80,Spectrum
170.34.100.231,80,Spectrum
170.34.100.141,80,Spectrum
170.34.41.121,80,Spectrum
170.34.41.39,80,Spectrum
170.34.41.86,80,Spectrum
170.34.41.15,80,Spectrum
170.34.127.252,80,Spectrum
170.34.127.42,80,Spectrum
170.34.127.130,80,Spectrum
170.34.127.101,80,Spectrum
170.34.127.254,80,Spectrum
170.34.127.70,80,Spectrum
170.34.100.45,80,Spectrum
170.34.127.203,80,Spectrum
170.34.127.88,80,Spectrum
170.34.127.199,80,Spectrum
170.34.41.84,80,Spectrum
170.34.100.73,80,Spectrum
170.34.41.83,80,Spectrum
170.34.41.115,80,Spectrum
170.34.100.46,80,Spectrum
170.34.100.199,80,Spectrum
170.34.100.139,80,Spectrum
170.34.127.228,80,Spectrum
170.34.127.15,80,Spectrum
170.34.127.217,80,Spectrum
170.34.100.131,80,Spectrum
170.34.41.93,80,Spectrum
170.34.127.200,80,Spectrum
170.34.41.46,80,Spectrum
170.34.127.85,80,Spectrum
170.34.127.114,80,Spectrum
170.34.127.212,80,Spectrum
170.34.100.18,80,Spectrum
170.34.100.19,80,Spectrum
170.34.127.94,80,Spectrum
170.34.127.40,80,Spectrum
170.34.100.207,80,Spectrum
170.34.127.91,80,Spectrum
170.34.100.191,80,Spectrum
170.34.127.204,80,Spectrum
170.34.100.253,80,Spectrum
170.34.127.161,80,Spectrum
170.34.100.151,80,Spectrum
170.34.127.81,80,Spectrum
170.34.100.79,80,Spectrum
170.34.41.116,80,Spectrum
170.34.127.38,80,Spectrum
170.34.100.163,80,Spectrum
170.34.127.112,80,Spectrum
170.34.100.148,80,Spectrum
170.34.41.31,80,Spectrum
170.34.41.91,80,Spectrum
170.34.127.98,80,Spectrum
170.34.127.93,80,Spectrum
170.34.100.193,80,Spectrum
